Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-09-13;2024-09-13;0,1016;0,1016;0,100786317882863;1000,0;144,0;36,0;LCA;PRE;OK
Andbank;2021-09-13;2023-09-04;1,03;1,01;0,0970468144670538;996,3539436;195,0;24,0;LCA;POS;OK
Easynvest;2021-09-13;2024-09-02;0,1016;0,0976;0,100786317882863;989,28905654;50,0;36,0;LCA;PRE;OK
Easynvest;2021-09-13;2025-08-25;0,1036;0,0996;0,102736665598943;985,80787228;50,0;48,0;LCA;PRE;OK
Ágora;2021-09-13;2023-09-18;1,03;1,0;0,0970468144670538;994,43722169;50,0;24,0;LCA;POS;OK
Ágora;2021-09-13;2023-03-09;0,0927;0,0902;0,0935258061987752;996,60633129;200,0;18,0;LCA;PRE;OK
XP Investimentos;2021-09-13;2023-09-13;0,0973;0,0965;0,0970468144670538;998,54529699;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-13;2023-09-13;0,0973;0,0915;0,0970468144670538;989,47734522;250,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-13;2024-09-12;0,1016;0,1005;0,100786317882863;997,01525284;50,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-13;2025-09-12;0,1036;0,1025;0,102736665598943;996,02688825;170,0;48,0;LCA;PRE;OK
