Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-09-09;2022-09-05;0,0855;0,0828;0,0869591860232619;997,54224166;1786,0;12,0;LCA;PRE;OK
XP Investimentos;2021-09-09;2022-09-09;0,0887;0,0825;0,0869591860232619;994,30513456;62,0;12,0;CDB;PRE;OK
XP Investimentos;2021-09-09;2022-09-09;0,0855;0,083;0,0869591860232619;997,69691386;100,0;12,0;LCA;PRE;OK
XP Investimentos;2021-09-09;2022-09-09;0,0855;0,0805;0,0869591860232619;995,39382773;318,0;12,0;LCA;PRE;OK
