Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Bradesco Private;2021-11-09;2022-11-07;0,1078;0,1053;0,120049891352641;997,76116541;155,0;12,0;LCA;PRE;OK
Bradesco Private;2021-11-09;2023-10-31;0,112;0,111;0,121971620692483;998,22719419;110,0;24,0;LCA;PRE;OK
Andbank;2021-11-09;2022-11-04;0,1078;0,1053;0,120049891352641;997,77011076;400,0;12,0;LCA;PRE;OK
Itau Corretora;2021-11-09;2023-05-11;0,99;0,96;0,122679571013451;994,82104234;20,0;18,0;LCA;POS;OK
BTG Pactual WM;2021-11-09;2023-11-09;0,112;0,111;0,121971620692483;998,20581132;61,0;24,0;LCA;PRE;OK
Nu Invest;2021-11-09;2022-11-07;0,1078;0,1048;0,120049891352641;997,31339367;579,0;12,0;LCA;PRE;OK
Nu Invest;2021-11-09;2023-11-09;0,112;0,109;0,121971620692483;994,62225738;174,0;24,0;LCA;PRE;OK
Nu Invest;2021-11-09;2024-11-11;0,111;0,108;0,120441237218185;991,9104015;50,0;36,0;LCA;PRE;OK
Ágora;2021-11-09;2023-05-10;0,111;0,1085;0,122679571013451;996,64438089;100,0;18,0;LCA;PRE;OK
Ágora;2021-11-09;2022-11-09;0,1078;0,1053;0,120049891352641;997,74327496;304,0;12,0;LCA;PRE;OK
Ágora;2021-11-09;2023-11-09;1,0;0,97;0,121971620692483;993,13365813;200,0;24,0;LCA;POS;OK
Ágora;2021-11-09;2023-11-09;0,112;0,1095;0,121971620692483;995,51754294;812,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-09;2022-08-09;0,1085;0,1035;0,115701192928546;996,61513908;250,0;9,0;CDB;PRE;OK
BTG Pactual Digital;2021-11-09;2022-08-09;0,1085;0,1075;0,115701192928546;999,32333369;200,0;9,0;CDB;PRE;OK
BTG Pactual Digital;2021-11-09;2022-11-09;0,1078;0,1028;0,120049891352641;995,48654992;122,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-09;2024-11-11;0,111;0,106;0,120441237218185;986,54166236;100,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-09;2023-11-09;0,112;0,111;0,121971620692483;998,20581132;56,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2022-11-09;0,1078;0,1065;0,120049891352641;998,82650298;929,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2022-11-09;0,1078;0,105;0,120049891352641;997,47246795;50,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2022-11-09;0,1078;0,1025;0,120049891352641;995,21574291;521,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2023-11-09;0,112;0,111;0,121971620692483;998,20581132;300,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2023-11-09;0,112;0,109;0,121971620692483;994,62225738;800,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2023-11-09;0,112;0,106;0,121971620692483;989,25898508;106,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2024-11-08;0,111;0,105;0,120441237218185;983,88571983;150,0;36,0;LCA;PRE;OK
XP Investimentos;2021-11-09;2022-11-09;0,98;0,93;0,120049891352641;994,34852872;151,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-09;2022-11-09;0,98;0,97;0,120049891352641;998,8671521;849,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-09;2025-11-10;1,01;0,91;0,119276823493423;955,93644963;58,0;48,0;LCA;POS;REVALIDAR
Guide;2021-11-09;2023-11-10;0,112;0,109;0,121971620692483;994,6115949;150,0;24,0;LCA;PRE;OK
Órama;2021-11-09;2023-05-03;0,111;0,108;0,122679571013451;996,02713823;50,0;18,0;LCA;PRE;OK
Órama;2021-11-09;2023-10-30;0,112;0,111;0,121971620692483;998,23075805;200,0;24,0;LCA;PRE;OK
