Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-11-17;2023-05-19;0,99;0,96;0,121718564499505;994,84566096;195,0;18,0;LCA;POS;OK
Inter DTVM;2021-11-17;2022-11-14;0,1052;0,1015;0,119458751844522;996,6787154;125,0;12,0;LCA;PRE;OK
Andbank;2021-11-17;2022-11-14;0,1052;0,1027;0,119458751844522;997,75589847;131,0;12,0;LCA;PRE;OK
Andbank;2021-11-17;2022-11-14;0,1052;0,1037;0,119458751844522;998,65354392;200,0;12,0;LCA;PRE;OK
Nu Invest;2021-11-17;2022-11-14;0,1052;0,1022;0,119458751844522;997,30707332;200,0;12,0;LCA;PRE;OK
Nu Invest;2021-11-17;2023-05-19;0,108;0,1054;0,121718564499505;996,48221011;50,0;18,0;LCA;PRE;OK
Nu Invest;2021-11-17;2023-11-17;0,1087;0,1057;0,120696057635536;994,60627235;50,0;24,0;LCA;PRE;OK
Nu Invest;2021-11-17;2025-11-17;0,1074;0,1053;0,11826607814895;992,43621421;50,0;48,0;LCA;PRE;OK
Guide;2021-11-17;2022-11-10;0,1052;0,1042;0,119458751844522;999,10954212;50,0;12,0;LCA;PRE;OK
Guide;2021-11-17;2022-11-17;0,98;0,97;0,119458751844522;998,87242308;150,0;12,0;LCA;POS;OK
BTG Pactual Digital;2021-11-17;2022-11-17;0,1052;0,1002;0,119458751844522;995,47593196;50,0;12,0;LCA;PRE;OK
Ágora;2021-11-17;2023-11-17;0,1087;0,1062;0,120696057635536;995,50421609;398,0;24,0;LCA;PRE;OK
Ágora;2021-11-17;2022-11-17;0,1052;0,1027;0,119458751844522;997,73796598;250,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-17;2022-11-17;0,1052;0,101;0,119458751844522;996,19978284;100,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-17;2022-11-17;0,1052;0,1;0,119458751844522;995,29496924;161,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-17;2022-11-17;0,98;0,97;0,119458751844522;998,87242308;278,0;12,0;LCA;POS;OK
