Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Inter DTVM;2021-09-21;2023-09-21;0,095;0,093;0,0947332872963538;996,35759614;250,0;24,0;LCA;PRE;OK
Itau Corretora;2021-09-21;2023-03-23;0,0901;0,0874;0,0909618763895002;996,28704599;220,0;18,0;LCA;PRE;OK
Guide;2021-09-21;2022-09-21;0,095;0,092;0,0867368247964562;997,26027397;50,0;12,0;LCA;PRE;OK
Ágora;2021-09-21;2023-03-17;0,0901;0,0875;0,0909618763895002;996,46224987;170,0;18,0;LCA;PRE;OK
XP Investimentos;2021-09-21;2023-09-21;0,095;0,094;0,0947332872963538;998,17796901;360,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-21;2023-09-21;0,095;0,0905;0,0947332872963538;991,81391823;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-21;2025-09-22;0,1019;0,101;0,101084766510874;996,7433802;150,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-21;2023-09-21;1,03;0,98;0,0947332872963538;991,00918199;75,0;24,0;LCA;POS;OK
XP Investimentos;2021-09-21;2023-09-21;1,03;1,01;0,0947332872963538;996,39394522;72,0;24,0;LCA;POS;OK
Easynvest;2021-09-21;2023-03-23;0,0901;0,0861;0,0909618763895002;994,50097005;50,0;18,0;LCA;PRE;OK
Easynvest;2021-09-21;2024-09-23;0,0997;0,0957;0,0989127819078799;989,14187917;50,0;36,0;LCA;PRE;OK
Easynvest;2021-09-21;2025-09-22;0,1019;0,0979;0,101084766510874;985,58694668;162,0;48,0;LCA;PRE;OK
