Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-10-15;2023-10-16;1,03;1,03;0,0971103859815377;1000,0;460,0;24,0;LCA;POS;OK
Andbank;2021-10-15;2023-10-05;1,03;1,01;0,0971103859815377;996,35899448;72,0;24,0;LCA;POS;OK
Itau Corretora;2021-10-15;2023-04-17;1,02;0,99;0,0941502463673987;995,97056837;250,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-15;2023-10-16;1,03;1,0;0,0971103859815377;994,4776321;876,0;24,0;LCA;POS;OK
Nu Invest;2021-10-15;2023-10-16;0,0974;0,0934;0,0971103859815377;992,75209857;50,0;24,0;LCA;PRE;OK
Ágora;2021-10-15;2023-10-16;1,03;1,0;0,0971103859815377;994,4776321;135,0;24,0;LCA;POS;OK
Guide;2021-10-15;2023-10-18;0,0974;0,0944;0,0971103859815377;994,54000474;119,0;24,0;LCA;PRE;OK
Modal Mais;2021-10-15;2023-10-06;0,0974;0,0894;0,0971103859815377;985,6735358;130,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-15;2022-07-15;0,0887;0,0837;0,0874384316213574;996,57174767;60,0;9,0;CDB;PRE;OK
BTG Pactual Digital;2021-10-15;2023-10-16;0,0974;0,093;0,0971103859815377;992,02875256;210,0;24,0;LCA;PRE;OK
