Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-11;2023-04-12;1,02;0,99;0,0930219057988715;996,01667359;15,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-11;2023-10-11;1,03;1,0;0,096506225089112;994,49945205;530,0;24,0;LCA;POS;OK
Nu Invest;2021-10-11;2025-10-13;0,1034;0,0994;0,102589194109638;985,5922298;50,0;48,0;LCA;PRE;OK
Guide;2021-10-11;2024-10-14;0,1012;0,1002;0,100402502262011;997,27817243;50,0;36,0;LCA;PRE;OK
Ágora;2021-10-11;2023-10-11;0,0967;0,0942;0,096506225089112;995,4550795;410,0;24,0;LCA;PRE;OK
Ágora;2021-10-11;2024-10-10;0,1012;0,0987;0,100402502262011;993,22261444;100,0;36,0;LCA;PRE;OK
BNP Paribas WM;2021-10-11;2023-04-04;1,02;1,0;0,0930219057988715;997,37788425;137,0;18,0;LCA;POS;OK
