Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Inter DTVM;2021-09-20;2023-09-20;0,0976;0,0955;0,0973407900362462;996,18470054;250,0;24,0;LCA;PRE;OK
Inter DTVM;2021-09-20;2024-09-20;0,1026;0,1005;0,101840200436616;994,30463;200,0;36,0;LCA;PRE;OK
Itau Corretora;2021-09-20;2023-03-22;0,0924;0,0897;0,0932448203852911;996,29485861;100,0;18,0;LCA;PRE;OK
CEF AM;2021-09-20;2023-09-20;0,008;0,008;0,0973407900362462;1000,0;100,0;24,0;LF;PRE;REVALIDAR
CEF AM;2021-09-20;2023-09-20;0,008;0,008;0,0973407900362462;1000,0;400,0;24,0;LF;PRE;REVALIDAR
XP Investimentos;2021-09-20;2023-09-20;0,0976;0,0965;0,0973407900362462;998,00060216;80,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-20;2023-09-20;0,0976;0,0945;0,0973407900362462;994,3704492;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-20;2023-09-20;0,0976;0,0915;0,0973407900362462;988,93759686;300,0;24,0;LCA;PRE;OK
Easynvest;2021-09-20;2023-09-20;0,0976;0,0936;0,0973407900362462;992,73903397;364,0;24,0;LCA;PRE;OK
Easynvest;2021-09-20;2024-09-23;0,1026;0,0986;0,101840200436616;989,15606822;65,0;36,0;LCA;PRE;OK
Easynvest;2021-09-20;2025-09-22;0,1051;0,1011;0,104224945406547;985,61427335;250,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-09-20;2024-09-20;0,1026;0,1016;0,101840200436616;997,28521612;125,0;36,0;LCA;PRE;OK
