Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-09-22;2023-09-22;0,0939;0,0939;0,0936702800986711;1000,0;200,0;24,0;LCA;PRE;OK
Itau Corretora;2021-09-22;2023-09-22;1,03;1,0;0,0936702800986711;994,65362727;275,0;24,0;LCA;POS;OK
Inter DTVM;2021-09-22;2024-09-23;0,0984;0,096;0,0976189475338725;993,47656994;200,0;36,0;LCA;PRE;OK
Easynvest;2021-09-22;2023-09-25;0,0939;0,0899;0,0936702800986711;992,70008828;173,0;24,0;LCA;PRE;OK
Easynvest;2021-09-22;2024-09-23;0,0984;0,0944;0,0976189475338725;989,14339505;50,0;36,0;LCA;PRE;OK
Easynvest;2021-09-22;2025-09-22;0,1006;0,0966;0,0997277236529561;985,58425501;250,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-22;2022-03-22;0,0791;0,073;0,0784363466213935;997,2144298;50,0;6,0;CDB;PRE;OK
XP Investimentos;2021-09-22;2023-09-22;0,0939;0,093;0,0936702800986711;998,35844912;200,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-22;2025-09-22;0,1006;0,0995;0,0997277236529561;996,02002687;171,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-22;2025-09-22;0,1006;0,0945;0,0997277236529561;978,07861788;115,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-22;2024-09-23;1,03;1,02;0,0976189475338725;997,21751414;180,0;36,0;LCA;POS;OK
BTG Pactual Digital;2021-09-22;2023-09-22;0,0939;0,0929;0,0936702800986711;998,17613766;50,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-09-22;2023-03-22;0,0893;0,0843;0,0901495033537285;993,15901415;50,0;18,0;LCA;PRE;OK
