Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
BTG Pactual Digital;2021-10-26;2022-10-26;0,1093;0,108;0,112587279791236;998,82808979;250,0;12,0;CDB;PRE;OK
BTG Pactual Digital;2021-10-26;2023-04-26;0,1109;0,1099;0,115869553531579;998,65718517;197,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1037;0,0987;0,117491619898775;990,97794495;360,0;24,0;LCA;PRE;OK
Itau Private;2021-10-26;2022-10-24;0,1096;0,1096;0,112587279791236;1000,0;500,0;12,0;LCA;PRE;OK
Itau Private;2021-10-26;2023-10-26;0,1163;0,1163;0,117491619898775;1000,0;950,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-04-26;0,1135;0,109;0,115869553531579;993,9761067;70,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2022-07-26;0,109;0,0999;0,109247785381279;993,87196831;220,0;9,0;CDB;PRE;OK
Daycoval;2021-10-26;2024-10-10;0,1185;0,1165;0,119118177364134;994,73003059;50,0;36,0;LCA;PRE;OK
Daycoval;2021-10-26;2025-10-06;0,1175;0,1155;0,119567034840367;992,97328728;50,0;48,0;LCA;PRE;OK
Itau Corretora;2021-10-26;2024-10-28;1,03;1,0;0,119118177364134;989,92473515;100,0;36,0;LCA;POS;OK
Daycoval;2021-10-26;2024-10-10;0,1185;0,1165;0,119118177364134;994,73003059;100,0;36,0;LCA;PRE;OK
Daycoval;2021-10-26;2024-10-10;0,1185;0,1165;0,119118177364134;994,73003059;50,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-26;2022-07-26;0,109;0,105;0,109247785381279;997,30793885;80,0;9,0;CDB;PRE;OK
Nu Invest;2021-10-26;2024-10-28;0,1185;0,1145;0,119118177364134;989,30966782;560,0;36,0;LCA;PRE;OK
Inter DTVM;2021-10-26;2022-10-24;0,1096;0,107;0,112587279791236;997,67538835;500,0;12,0;LCA;PRE;OK
Inter DTVM;2021-10-26;2022-10-24;0,1096;0,1025;0,112587279791236;993,65191958;1300,0;12,0;LCA;PRE;OK
Inter DTVM;2021-10-26;2023-10-26;0,1163;0,111;0,117491619898775;990,5455933;200,0;24,0;LCA;PRE;OK
Guide;2021-10-26;2023-04-25;0,1135;0,111;0,115869553531579;996,66080028;123,0;18,0;LCA;PRE;OK
Guide;2021-10-26;2023-10-27;0,1163;0,1133;0,117491619898775;994,63232316;80,0;24,0;LCA;PRE;OK
Guide;2021-10-26;2023-10-27;0,1163;0,1153;0,117491619898775;998,20916941;200,0;24,0;LCA;PRE;OK
Guide;2021-10-26;2024-10-28;0,1185;0,1155;0,119118177364134;991,97507187;59,0;36,0;LCA;PRE;OK
Ágora;2021-10-26;2024-10-25;0,1185;0,1159;0,119118177364134;993,05174343;150,0;36,0;LCA;PRE;OK
Ágora;2021-10-26;2022-10-26;0,1096;0,107;0,112587279791236;997,65681327;1314,0;12,0;LCA;PRE;OK
Ágora;2021-10-26;2023-04-26;1,01;0,98;0,115869553531579;995,10564794;50,0;18,0;LCA;POS;OK
Ágora;2021-10-26;2024-10-25;1,03;1,0;0,119118177364134;989,93799495;120,0;36,0;LCA;POS;OK
Ágora;2021-10-26;2023-10-26;0,1163;0,1137;0,117491619898775;995,35638914;450,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,1125;0,117491619898775;993,21682175;50,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2022-10-26;0,1096;0,1046;0,112587279791236;995,49387167;1552,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-04-26;0,1135;0,1125;0,115869553531579;998,66031992;200,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,1113;0,117491619898775;991,07955181;505,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,1153;0,117491619898775;998,21271947;90,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2024-10-28;0,1185;0,1135;0,119118177364134;986,64904262;140,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,115;0,117491619898775;997,67684642;100,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2022-10-26;0,1096;0,1046;0,112587279791236;995,49387167;187,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-04-26;0,1135;0,1085;0,115869553531579;993,30752648;275,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,115;0,117491619898775;997,67684642;50,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2024-10-28;0,1185;0,1175;0,119118177364134;997,32023367;50,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2022-10-26;0,1096;0,1086;0,112587279791236;999,09877433;360,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2024-10-28;0,1185;0,1135;0,119118177364134;986,64904262;150,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,112;0,117491619898775;992,3260134;50,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2023-10-26;0,1163;0,1153;0,117491619898775;998,21271947;551,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-26;2022-10-26;1,0;0,99;0,112587279791236;998,93391037;200,0;12,0;LCA;POS;OK
BTG Pactual WM;2021-10-26;2024-10-28;0,1185;0,1175;0,119118177364134;997,32023367;100,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2022-01-24;0,0884;0,0875;0,0908653201600811;999,79649244;67,0;3,0;CDB;PRE;OK
XP Investimentos;2021-10-26;2022-01-24;0,0884;0,0825;0,0908653201600811;998,66357668;150,0;3,0;CDB;PRE;OK
XP Investimentos;2021-10-26;2022-04-25;0,102;0,096;0,10282974855829;997,33878055;497,0;6,0;CDB;PRE;OK
XP Investimentos;2021-10-26;2022-10-26;0,1129;0,112;0,112587279791236;999,191302;150,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-26;2022-10-26;0,1096;0,1085;0,112587279791236;999,00865177;225,0;12,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2022-10-26;0,1096;0,107;0,112587279791236;997,65681327;108,0;12,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2022-10-26;0,1096;0,1045;0,112587279791236;995,4037491;1217,0;12,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2023-10-26;0,1163;0,1155;0,117491619898775;998,57004794;147,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2023-10-26;0,1163;0,1135;0,117491619898775;994,99963503;400,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2023-10-26;0,1163;0,1105;0,117491619898775;989,65598155;1279,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2024-10-25;0,1185;0,1175;0,119118177364134;997,32377359;597,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2024-10-25;0,1185;0,1155;0,119118177364134;991,98564421;250,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2024-10-25;0,1185;0,114;0,119118177364134;987,99456341;120,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2024-10-25;0,1185;0,1125;0,119118177364134;984,01419487;760,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2025-10-27;0,1175;0,1155;0,119567034840367;992,8674164;990,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-26;2022-10-26;1,0;0,99;0,112587279791236;998,93391037;50,0;12,0;LCA;POS;OK
XP Investimentos;2021-10-26;2022-10-26;1,0;0,97;0,112587279791236;996,80512604;109,0;12,0;LCA;POS;OK
XP Investimentos;2021-10-26;2022-10-26;1,0;0,95;0,112587279791236;994,68086031;50,0;12,0;LCA;POS;OK
Andbank;2021-10-26;2023-10-16;0,1163;0,1138;0,117491619898775;995,60565112;59,0;24,0;LCA;PRE;OK
Andbank;2021-10-26;2023-10-16;0,1163;0,1119;0,117491619898775;992,27230011;100,0;24,0;LCA;PRE;OK
Modal Mais;2021-10-26;2024-10-10;0,1185;0,1105;0,119118177364134;979,03038838;79,0;36,0;LCA;PRE;OK
Órama;2021-10-26;2023-04-19;0,1135;0,1105;0,115869553531579;996,02538908;50,0;18,0;LCA;PRE;OK
Órama;2021-10-26;2023-10-16;0,1163;0,1133;0,117491619898775;994,72792142;50,0;24,0;LCA;PRE;OK
Órama;2021-10-26;2023-10-16;0,1163;0,1148;0,117491619898775;997,36225061;80,0;24,0;LCA;PRE;OK
