Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-09-23;2023-03-27;0,0892;0,0892;0,0901067884798268;1000,0;450,0;18,0;LCA;PRE;OK
Inter DTVM;2021-09-23;2023-09-25;0,0938;0,0915;0,0935689675699327;995,80721759;100,0;24,0;LCA;PRE;OK
Andbank;2021-09-23;2023-09-13;1,03;1,01;0,0935689675699327;996,49283827;270,0;24,0;LCA;POS;OK
Itau Corretora;2021-09-23;2023-09-25;1,03;1,0;0,0935689675699327;994,65914296;730,0;24,0;LCA;POS;OK
Easynvest;2021-09-23;2024-09-23;0,098;0,094;0,09720665519794;989,15377988;50,0;36,0;LCA;PRE;OK
Easynvest;2021-09-23;2025-09-23;0,1001;0,0961;0,0992126436024372;985,57773861;300,0;48,0;LCA;PRE;OK
Ágora;2021-09-23;2023-03-24;0,0892;0,0867;0,0901067884798268;996,56816979;50,0;18,0;LCA;PRE;OK
XP Investimentos;2021-09-23;2023-09-25;0,0938;0,091;0,0935689675699327;994,89690638;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-23;2025-09-22;0,1001;0,099;0,0992126436024372;996,02217474;70,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-23;2025-09-22;0,1001;0,094;0,0992126436024372;978,09031847;100,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-23;2023-09-25;1,03;0,98;0,0935689675699327;991,11439672;225,0;24,0;LCA;POS;OK
BTG Pactual Digital;2021-09-23;2023-03-23;0,0892;0,0842;0,0901067884798268;993,15838679;50,0;18,0;LCA;PRE;OK
