Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-09-27;2023-09-27;1,03;1,0;0,0958763364250883;994,53365906;465,0;24,0;LCA;POS;OK
Andbank;2021-09-27;2023-09-18;1,03;1,01;0,0958763364250883;996,40312085;158,0;24,0;LCA;POS;OK
Ágora;2021-09-27;2023-09-27;0,0961;0,0936;0,0958763364250883;995,45259446;266,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2023-09-27;0,0961;0,093;0,0958763364250883;994,36275609;200,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2023-09-27;0,0961;0,09;0,0958763364250883;988,92250016;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2024-09-26;0,1008;0,1;0,100009700303103;997,82710888;100,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2024-09-26;0,1008;0,098;0,100009700303103;992,40863877;193,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2025-09-26;0,1029;0,097;0,102047058738246;978,8146291;118,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-27;2023-09-27;1,03;0,98;0,0958763364250883;990,90600948;100,0;24,0;LCA;POS;OK
XP Investimentos;2021-09-27;2023-09-27;1,03;1,02;0,0958763364250883;998,17456276;100,0;24,0;LCA;POS;OK
XP Investimentos;2021-09-27;2025-09-26;1,04;0,97;0,102047058738246;973,21703332;50,0;48,0;LCA;POS;OK
XP Investimentos;2021-09-27;2025-09-26;1,04;0,94;0,102047058738246;961,95912546;200,0;48,0;LCA;POS;OK
XP Investimentos;2021-09-27;2025-09-26;1,04;1,03;0,102047058738246;996,1292462;50,0;48,0;LCA;POS;OK
