Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-13;2023-04-14;1,02;0,99;0,0929021051306513;996,01103993;103,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-13;2023-10-13;1,03;1,0;0,0961918967590567;994,51651949;984,0;24,0;LCA;POS;OK
Nu Invest;2021-10-13;2023-10-16;0,0964;0,0924;0,0961918967590567;992,71670304;290,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-13;2024-10-14;0,1006;0,0966;0,0997839500758591;989,150726;50,0;36,0;LCA;PRE;OK
Ágora;2021-10-13;2023-04-13;0,092;0,0895;0,0929021051306513;996,57696436;200,0;18,0;LCA;PRE;OK
Ágora;2021-10-13;2022-04-13;0,082;0,0794;0,0813087390959868;998,79779861;500,0;6,0;CDB;PRE;OK
