Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Daycoval;2021-11-04;2022-10-31;0,1072;0,1052;0,119223377981554;998,21512668;50,0;12,0;LCA;PRE;OK
Itau Corretora;2021-11-04;2023-05-08;1,0;0,97;0,122268303652588;994,83741785;498,0;18,0;LCA;POS;OK
Andbank;2021-11-04;2022-10-31;1,0;0,98;0,119223377981554;997,777079;100,0;12,0;LCA;POS;OK
Nu Invest;2021-11-04;2022-10-31;0,1072;0,1032;0,119223377981554;996,43021491;709,0;12,0;LCA;PRE;OK
Nu Invest;2021-11-04;2023-05-08;0,1108;0,1068;0,122268303652588;994,61759157;50,0;18,0;LCA;PRE;OK
Nu Invest;2021-11-04;2025-11-04;0,1113;0,1092;0,121056997357788;992,47013259;105,0;48,0;LCA;PRE;OK
BTG Pactual WM;2021-11-04;2022-10-31;0,1072;0,1062;0,119223377981554;999,10756814;100,0;12,0;LCA;PRE;OK
Ágora;2021-11-04;2022-11-04;0,1072;0,1047;0,119223377981554;997,74205202;529,0;12,0;LCA;PRE;OK
Ágora;2021-11-04;2023-11-06;0,1112;0,1087;0,122106640920313;995,51431944;350,0;24,0;LCA;PRE;OK
Ágora;2021-11-04;2023-05-05;0,1108;0,1083;0,122268303652588;996,64377705;200,0;18,0;LCA;PRE;OK
Ágora;2021-11-04;2022-11-04;1,0;0,97;0,119223377981554;996,62738153;50,0;12,0;LCA;POS;OK
BTG Pactual Digital;2021-11-04;2022-11-04;0,1072;0,1022;0,119223377981554;995,48410405;135,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2022-11-04;0,1072;0,1022;0,119223377981554;995,48410405;150,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2023-05-04;0,1108;0,1098;0,122268303652588;998,66063356;120,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2022-11-04;0,1072;0,1062;0,119223377981554;999,09682081;161,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2022-11-04;0,1072;0,103;0,119223377981554;996,2066474;50,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2023-05-04;0,1108;0,1058;0,122268303652588;993,3090598;50,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2023-11-06;0,1112;0,1102;0,122106640920313;998,20452019;78,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2022-11-04;0,1072;0,106;0,119223377981554;998,91618497;226,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-04;2023-11-06;0,1112;0,1102;0,122106640920313;998,20452019;400,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-04;2022-11-04;0,1072;0,106;0,119223377981554;998,91618497;850,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-04;2022-11-04;0,1072;0,1045;0,119223377981554;997,56141618;100,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-04;2022-11-04;0,1072;0,102;0,119223377981554;995,30346821;534,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-04;2023-11-06;0,1112;0,11;0,122106640920313;997,84561744;413,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-04;2022-11-04;1,0;0,99;0,119223377981554;998,87453266;260,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-04;2022-11-04;1,0;0,95;0,119223377981554;994,38526576;454,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-04;2023-11-06;1,01;1,0;0,122106640920313;997,70358641;55,0;24,0;LCA;POS;OK
XP Investimentos;2021-11-04;2024-11-04;1,01;0,91;0,121513550467526;966,23225106;50,0;36,0;LCA;POS;OK
XP Investimentos;2021-11-04;2025-11-03;1,02;1,01;0,121056997357788;995,44963925;50,0;48,0;LCA;POS;OK
Modal Mais;2021-11-04;2023-10-26;0,1112;0,1052;0,122106640920313;989,37880511;53,0;24,0;LCA;PRE;OK
Modal Mais;2021-11-04;2023-10-26;0,1112;0,1032;0,122106640920313;985,85083128;70,0;24,0;LCA;PRE;OK
Guide;2021-11-04;2023-05-04;1,0;0,99;0,122268303652588;998,28531439;50,0;18,0;LCA;POS;OK
Guide;2021-11-04;2023-05-04;0,1108;0,1078;0,122268303652588;995,98366773;50,0;18,0;LCA;PRE;OK
Guide;2021-11-04;2023-11-07;0,1112;0,1082;0,122106640920313;994,6077208;51,0;24,0;LCA;PRE;OK
Órama;2021-11-04;2022-10-31;0,1072;0,1042;0,119223377981554;997,32267561;99,0;12,0;LCA;PRE;OK
Órama;2021-11-04;2022-10-31;0,1072;0,1057;0,119223377981554;998,66134861;50,0;12,0;LCA;PRE;OK
RB Capital;2021-11-04;2023-11-06;0,1112;0,1112;0,122106640920313;1000,0;50,0;24,0;LCA;PRE;OK
