Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-06;2023-04-10;1,02;0,99;0,0952540765423762;995,91472734;140,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-06;2023-10-06;1,03;1,0;0,0987341379412998;994,37862955;1028,0;24,0;LCA;POS;OK
Nu Invest;2021-10-06;2024-10-07;0,1033;0,0993;0,102472350478035;989,19143731;148,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-06;2025-10-06;0,1054;0,1014;0,104520741798775;985,64651414;228,0;48,0;LCA;PRE;OK
Ágora;2021-10-06;2025-10-06;0,1054;0,1028;0,104520741798775;990,65255459;231,0;48,0;LCA;PRE;OK
Ágora;2021-10-06;2023-04-06;0,0944;0,0918;0,0952540765423762;996,44792603;1000,0;18,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2023-10-06;0,099;0,098;0,0987341379412998;998,1845976;320,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2023-10-06;0,099;0,093;0,0987341379412998;989,13227669;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2024-10-07;0,1033;0,1025;0,102472350478035;997,83202894;180,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2024-10-07;0,1033;0,0975;0,102472350478035;984,35306881;320,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2025-10-06;0,1054;0,1035;0,104520741798775;993,1627065;553,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-06;2022-01-04;1,01;1,0;0,07265336369024;999,83026617;200,0;3,0;CDB;POS;OK
XP Investimentos;2021-10-06;2023-10-06;1,03;0,98;0,0987341379412998;990,64858092;110,0;24,0;LCA;POS;OK
XP Investimentos;2021-10-06;2023-10-06;1,03;1,0;0,0987341379412998;994,37862955;100,0;24,0;LCA;POS;OK
XP Investimentos;2021-10-06;2025-10-06;1,04;0,94;0,104520741798775;961,13673167;84,0;48,0;LCA;POS;OK
Órama;2021-10-06;2023-03-30;0,0015;0,0001;0,0952540765423762;997,93711568;94,0;18,0;LCA;PRE;OK
Órama;2021-10-06;2024-09-20;0,1033;0,1018;0,102472350478035;995,99676983;300,0;36,0;LCA;PRE;OK
