Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-09-28;2023-09-28;1,03;1,0;0,0974680708030209;994,44725794;410,0;24,0;LCA;POS;OK
Easynvest;2021-09-28;2023-09-28;0,0977;0,0937;0,0974680708030209;992,73969424;54,0;24,0;LCA;PRE;OK
Easynvest;2021-09-28;2025-09-29;0,1046;0,1006;0,103745742317061;985,62198587;50,0;48,0;LCA;PRE;OK
Ágora;2021-09-28;2023-09-28;0,0977;0,0952;0,0974680708030209;995,4592152;250,0;24,0;LCA;PRE;OK
Ágora;2021-09-28;2023-03-29;0,0927;0,0901;0,0935355296701339;996,44240306;100,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-09-28;2024-09-30;0,1025;0,0975;0,10166355486386;986,47396064;90,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-28;2021-12-27;0,0701;0,064;0,071020725920518;998,61714996;230,0;3,0;CDB;PRE;OK
XP Investimentos;2021-09-28;2023-09-28;0,0977;0,0915;0,0974680708030209;988,75777894;56,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-28;2023-09-28;1,03;0,98;0,0974680708030209;990,76253598;100,0;24,0;LCA;POS;OK
Órama;2021-09-28;2023-09-18;1,03;1,005;0,0974680708030209;995,44403447;74,0;24,0;LCA;POS;OK
