Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
BTG Pactual Digital;2021-10-28;2022-10-28;0,1096;10000,0;;;728,0;12,0;LCA;POS;FALSO
BTG Pactual Digital;2021-10-28;2022-10-28;10000,0;0,1098;;0,1109689;250,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-28;2023-10-30;0,1174;0,1169;0,118591873914995;999,10704003;200,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-28;2025-10-28;0,1173;0,1135;0,119403548512916;986,49169431;50,0;48,0;LCA;PRE;OK
Bradesco Private;2021-10-25;2022-10-24;5000,0;0,1107;0,112634634379368;0,22963484;100,0;12,0;CDB;PRE;FALSO
Itau Corretora;2021-12-28;2023-05-02;0,05;0,98;;;150,0;15,0;LCA;POS;FALSO
Daycoval;2021-10-28;2022-10-24;0,1096;0,1076;;998,22613361;59,0;12,0;LCA;PRE;FALSO
Daycoval;2021-10-28;2023-10-19;0,1174;0,1154;0,118591873914995;996,48013532;374,0;24,0;LCA;PRE;OK
Daycoval;2021-10-28;2023-10-19;0,1174;0,1164;0,118591873914995;998,23930447;70,0;24,0;LCA;PRE;OK
Daycoval;2021-11-30;2024-10-14;0,1187;0,1167;0,119323211259095;994,87931225;120,0;36,0;LCA;PRE;OK
Inter DTVM;2021-10-28;2022-10-24;1,0;0,97;;;50,0;12,0;LCA;POS;FALSO
BTG Pactual WM;2021-10-28;2022-10-24;0,1096;0,1086;;999,11307316;200,0;12,0;LCA;PRE;FALSO
BTG Pactual WM;2021-10-28;2022-10-24;0,1096;0,1066;;997,33918136;252,0;12,0;LCA;PRE;FALSO
Nu Invest;2021-10-28;2022-10-24;0,1096;0,1056;;996,45221639;405,0;12,0;LCA;PRE;FALSO
Nu Invest;2021-10-28;2023-05-02;0,1147;0,1107;0,117058570149338;994,63640621;50,0;18,0;LCA;PRE;OK
Nu Invest;2021-10-28;2023-10-30;0,1174;0,1134;0,118591873914995;992,86746637;100,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-28;2024-10-28;0,1187;0,1147;0,119323211259095;989,3396972;534,0;36,0;LCA;PRE;OK
Guide;2021-10-28;2023-04-27;0,1147;0,1117;0,117058570149338;995,99771042;100,0;18,0;LCA;PRE;OK
Guide;2021-10-28;2024-10-30;0,1187;0,1167;0,119323211259095;994,64621466;150,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2022-01-26;0,0869;0,0805;0,0893439179233939;998,54806279;50,0;3,0;CDB;PRE;OK
XP Investimentos;2021-10-28;2022-10-28;0,113;0,107;0,112634634379368;994,60916442;250,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-28;2022-10-28;0,1096;0,1085;;999,00865177;1348,0;12,0;LCA;PRE;FALSO
XP Investimentos;2021-10-28;2022-10-28;0,1096;0,107;;997,65681327;50,0;12,0;LCA;PRE;FALSO
XP Investimentos;2021-10-28;2022-10-28;0,1096;0,1045;;995,4037491;100,0;12,0;LCA;PRE;FALSO
XP Investimentos;2021-10-28;2023-10-30;0,1174;0,116;0,118591873914995;997,50071523;974,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2023-10-30;0,1174;0,114;0,118591873914995;993,93572226;112,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2023-10-30;0,1174;0,111;0,118591873914995;988,60017516;664,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2024-10-28;0,1187;0,1175;0,119323211259095;996,79392024;685,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2024-10-28;0,1187;0,1125;0,119323211259095;983,50891384;81,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2025-10-27;0,1173;0,116;0,119403548512916;995,36783476;1600,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2025-10-27;0,1173;0,115;0,119403548512916;991,81558517;120,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-28;2022-10-28;1,0;0,95;;;350,0;12,0;LCA;POS;FALSO
XP Investimentos;2021-10-28;2022-10-28;1,0;0,99;;;100,0;12,0;LCA;POS;FALSO
XP Investimentos;2021-10-28;2022-10-28;1,0;0,97;;;80,0;12,0;LCA;POS;FALSO
BTG Pactual Digital;2021-10-28;2022-10-28;0,113;0,108;0,112634634379368;995,50763702;50,0;12,0;CDB;PRE;OK
BTG Pactual Digital;2021-10-28;2022-10-28;0,1096;0,107;;997,65681327;139,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-28;2023-04-28;0,1147;0,1097;0,117058570149338;993,31472311;271,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-28;2022-10-28;0,1096;0,1046;;995,49387167;767,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-28;2024-10-28;0,1187;0,1182;0,119323211259095;998,66330039;50,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-28;2024-10-28;0,1187;0,1137;0,119323211259095;986,68649639;52,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-28;2023-04-28;0,1147;0,1137;0,117058570149338;998,6617618;100,0;18,0;LCA;PRE;OK
