Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-10-05;2023-04-06;0,0937;0,0937;0,0945896236622796;1000,0;315,0;18,0;LCA;PRE;OK
Andbank;2021-10-05;2023-09-25;0,0983;0,0958;0,0980490246233137;995,53371142;400,0;24,0;LCA;PRE;OK
Itau Corretora;2021-10-05;2023-10-05;1,03;1,0;0,0980490246233137;994,41575633;1411,0;24,0;LCA;POS;OK
Nu Invest;2021-10-05;2023-10-05;0,0983;0,0943;0,0980490246233137;992,74365333;100,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-05;2025-10-06;0,1046;0,1006;0,103780419213162;985,62198587;80,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-05;2023-10-05;1,03;0,995;0,0980490246233137;993,4880795;120,0;24,0;LCA;POS;OK
Ágora;2021-10-05;2025-10-06;0,1046;0,1021;0,103780419213162;990,9954576;250,0;48,0;LCA;PRE;OK
Ágora;2021-10-05;2023-04-05;0,0937;0,0912;0,0945896236622796;996,58228195;300,0;18,0;LCA;PRE;OK
Ágora;2021-10-05;2023-10-05;0,0983;0,0957;0,0980490246233137;995,280375;255,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-05;2022-10-05;0,0919;0,086;0,0900935317522307;994,59657478;50,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-05;2023-10-05;0,0983;0,0975;0,0980490246233137;998,54662101;545,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-05;2023-10-05;0,0983;0,0925;0,0980490246233137;989,48690081;150,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-05;2024-10-04;0,1026;0,0995;0,10180010962694;991,61124039;2500,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-05;2025-10-06;0,1046;0,1025;0,103780419213162;992,43208417;240,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-05;2023-10-05;1,03;1,0;0,0980490246233137;994,41575633;75,0;24,0;LCA;POS;OK
XP Investimentos;2021-10-05;2023-10-05;1,03;1,01;0,0980490246233137;996,2737043;100,0;24,0;LCA;POS;OK
XP Investimentos;2021-10-05;2025-10-06;1,04;0,97;0,103780419213162;972,78987705;85,0;48,0;LCA;POS;OK
