Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-09-15;2023-03-17;0,0897;0,087;0,0905886811346024;996,28568391;170,0;18,0;LCA;PRE;OK
XP Investimentos;2021-09-15;2021-12-14;0,0665;0,0605;0,0674866386702864;998,63526702;50,0;3,0;CDB;PRE;OK
XP Investimentos;2021-09-15;2022-03-15;0,0781;0,077;0,0774112095889858;999,49781081;219,0;6,0;CDB;PRE;OK
XP Investimentos;2021-09-15;2022-03-15;0,0781;0,072;0,0774112095889858;997,21184229;100,0;6,0;CDB;PRE;OK
XP Investimentos;2021-09-15;2023-09-15;0,0948;0,094;0,0945891405410646;998,54197635;300,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-15;2024-09-16;0,0999;0,099;0,0990642474158157;997,55372031;166,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-15;2025-09-15;0,1022;0,096;0,101300733128582;977,7543454;110,0;48,0;LCA;PRE;OK
Ágora;2021-09-15;2023-09-20;0,0948;0,0923;0,0945891405410646;995,42010928;450,0;24,0;LCA;PRE;OK
Ágora;2021-09-15;2023-09-20;1,03;1,0;0,0945891405410646;994,57152958;50,0;24,0;LCA;POS;OK
