Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-10-27;2023-10-27;0,1197;0,1197;0,117151951658195;1000,0;1250,0;24,0;LCA;PRE;FALSO
Daycoval;2021-10-27;2023-10-18;0,1197;0,1177;0,117151951658195;996,48735929;50,0;24,0;LCA;PRE;FALSO
Ágora;2021-10-27;2022-10-24;0,1129;0,1104;0,112326561201012;997,78032963;360,0;12,0;LCA;PRE;FALSO
Ágora;2021-10-27;2023-04-28;0,1176;0,115;0,11605273843639;996,52162011;150,0;18,0;LCA;PRE;FALSO
Ágora;2021-10-27;2023-10-27;0,1197;0,1172;0,117151951658195;995,54833377;150,0;24,0;LCA;PRE;FALSO
Guide;2021-10-27;2023-10-30;0,1197;0,1167;0,117151951658195;994,6486004;1500,0;24,0;LCA;PRE;FALSO
Andbank;2021-10-27;2023-10-17;0,1197;0,1172;0,117151951658195;995,6189803;437,0;24,0;LCA;PRE;FALSO
Andbank;2021-10-27;2023-10-17;0,1197;0,114;0,117151951658195;990,02505478;100,0;24,0;LCA;PRE;FALSO
Bradesco Private;2021-10-27;2022-10-24;0,1108;0,1083;0,112326561201012;997,77613323;100,0;12,0;LCA;PRE;OK
BTG Pactual WM;2021-10-27;2023-10-27;0,1197;0,1187;0,117151951658195;998,21814418;180,0;24,0;LCA;PRE;FALSO
Daycoval;2021-10-27;2022-10-24;0,1108;0,1088;0,112326561201012;998,22091135;100,0;12,0;LCA;PRE;OK
Inter DTVM;2021-10-27;2022-01-25;0,0894;0,082;0,0903239653033385;998,32447612;200,0;3,0;CDB;PRE;OK
Inter DTVM;2021-10-27;2023-10-27;0,1179;0,1115;0,117151951658195;988,60525935;450,0;24,0;LCA;PRE;OK
Inter DTVM;2021-10-27;2024-10-28;0,12;0,115;0,117365728235614;986,68436193;250,0;36,0;LCA;PRE;FALSO
Nu Invest;2021-10-27;2023-04-28;0,1176;0,1136;0,11605273843639;994,65031153;50,0;18,0;LCA;PRE;FALSO
Nu Invest;2021-10-27;2023-10-27;0,1179;0,1139;0,117151951658195;992,87065082;50,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-27;2023-10-27;0,1197;0,1157;0,117151951658195;992,88209135;100,0;24,0;LCA;PRE;FALSO
Nu Invest;2021-10-27;2024-10-28;0,1187;0,1147;0,117365728235614;989,32563459;50,0;36,0;LCA;PRE;OK
Ágora;2021-10-27;2022-10-27;1,0;0,97;0,112326561201012;996,81213162;50,0;12,0;LCA;POS;OK
Itau Corretora;2021-10-27;2024-10-28;1,03;1,0;0,117365728235614;990,07738044;40,0;36,0;LCA;POS;OK
Guide;2021-10-27;2023-10-30;0,1179;0,1149;0,117151951658195;994,63999536;109,0;24,0;LCA;PRE;OK
Guide;2021-10-27;2023-10-30;0,1179;0,1167;0,117151951658195;997,85426973;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-27;2022-01-25;0,0899;0,084;0,0903239653033385;998,66541974;250,0;3,0;CDB;PRE;FALSO
XP Investimentos;2021-10-27;2022-10-27;0,1163;0,1155;0,112326561201012;999,28334677;158,0;12,0;CDB;PRE;FALSO
XP Investimentos;2021-10-27;2022-10-27;0,1163;0,1105;0,112326561201012;994,80426409;135,0;12,0;CDB;PRE;FALSO
XP Investimentos;2021-10-27;2022-10-27;0,1129;0,112;0,112326561201012;999,191302;611,0;12,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2022-10-27;0,1129;0,108;0,112326561201012;995,59708869;1071,0;12,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2023-10-27;0,1197;0,1185;0,117151951658195;997,86196331;917,0;24,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2023-10-27;0,1197;0,1165;0,117151951658195;994,30364329;50,0;24,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2023-10-27;0,1197;0,1135;0,117151951658195;988,9780566;894,0;24,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2024-10-28;0,12;0,119;0,117365728235614;997,32735463;925,0;36,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2024-10-28;0,12;0,117;0,117365728235614;991,996349;50,0;36,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2024-10-28;0,12;0,1155;0,117365728235614;988,01057756;50,0;36,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2024-10-28;0,12;0,114;0,117365728235614;984,03548976;725,0;36,0;LCA;PRE;FALSO
XP Investimentos;2021-10-27;2025-10-27;0,118;0,117;0,1172;996,43405657;500,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-27;2025-10-27;0,118;0,116;0,1172;992,87765231;600,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-27;2022-10-27;1,0;0,95;0,112326561201012;994,69251151;753,0;12,0;LCA;POS;OK
XP Investimentos;2021-10-27;2022-10-27;1,0;0,99;0,112326561201012;998,93625052;55,0;12,0;LCA;POS;OK
BTG Pactual Digital;2021-10-27;2024-10-28;0,12;0,119;0,117365728235614;997,32735463;70,0;36,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2022-10-27;0,1108;0,1058;0,112326561201012;995,49873965;928,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2022-10-27;0,1108;0,1098;0,112326561201012;999,09974793;250,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2023-10-27;0,1197;0,1147;0,117151951658195;991,10657862;50,0;24,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2024-10-28;0,12;0,115;0,117365728235614;986,68436193;60,0;36,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2023-04-27;0,1157;0,1147;0,11605273843639;998,662961;93,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2024-10-28;0,1187;0,1182;0,117365728235614;998,66152877;50,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2022-10-27;0,1129;0,111;0,112326561201012;998,29274867;250,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2022-10-27;0,1129;0,1119;0,112326561201012;999,10144667;65,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2023-04-27;0,1176;0,1126;0,11605273843639;993,33205123;100,0;18,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2023-10-27;0,1179;0,1169;0,117151951658195;998,21527639;55,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2024-10-28;0,1187;0,1137;0,117365728235614;986,66895744;1100,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2025-10-27;0,1181;0,1135;0,1172;983,67697358;50,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2023-10-27;0,1179;0,1169;0,117151951658195;998,21527639;200,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2022-10-27;0,1129;0,1079;0,112326561201012;995,50723335;508,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2022-10-27;0,1108;0,108;0,112326561201012;997,4792942;180,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2023-04-27;0,1157;0,1107;0,11605273843639;993,32070849;100,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2022-10-27;0,1129;0,1119;0,112326561201012;999,10144667;690,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2023-10-27;0,1179;0,114;0,117151951658195;993,04857433;100,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2022-10-27;0,1129;0,11;0,112326561201012;997,39419535;76,0;12,0;LCA;PRE;FALSO
BTG Pactual Digital;2021-10-27;2025-10-27;0,1181;0,1131;0,1172;982,26708007;950,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-27;2023-10-27;0,1179;0,1129;0,117151951658195;991,09229074;1158,0;24,0;LCA;PRE;OK
