Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-10-20;2022-10-17;0,0954;0,0954;0,0969309482197198;1000,0;375,0;12,0;LCA;PRE;OK
Daycoval;2021-10-20;2025-09-29;0,1112;0,1092;0,110289015915909;992,94065255;95,0;48,0;LCA;PRE;OK
Itau Corretora;2021-10-20;2023-04-24;1,02;0,99;0,101770974223878;995,64899137;698,0;18,0;LCA;POS;OK
Nu Invest;2021-10-20;2022-07-20;0,0947;0,0907;0,0934826182675759;997,27275626;70,0;9,0;CDB;PRE;OK
Nu Invest;2021-10-20;2023-10-20;0,1055;0,1015;0,105275867110037;992,79082781;100,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-20;2025-10-20;0,1112;0,1072;0,110289015915909;985,70692426;50,0;48,0;LCA;PRE;OK
Ágora;2021-10-20;2022-10-20;0,0954;0,0929;0,0969309482197198;997,71772868;450,0;12,0;LCA;PRE;OK
Ágora;2021-10-20;2023-04-20;0,1009;0,0984;0,101770974223878;996,60462158;150,0;18,0;LCA;PRE;OK
Ágora;2021-10-20;2022-10-20;0,0987;0,0962;0,0969309482197198;997,7245836;250,0;12,0;CDB;PRE;OK
Ágora;2021-10-20;2023-10-20;0,1055;0,103;0,105275867110037;995,49121718;50,0;24,0;LCA;PRE;OK
Andbank;2021-10-20;2023-10-10;0,1065;0,103;0,105275867110037;993,78369706;980,0;24,0;LCA;PRE;OK
Andbank;2021-10-20;2023-10-10;1,02;1,0;0,105275867110037;996,06830158;304,0;24,0;LCA;POS;OK
BTG Pactual Digital;2021-10-20;2022-10-20;0,0954;0,092;0,0969309482197198;996,89611101;200,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2025-10-20;0,1112;0,1107;0,110289015915909;998,20492396;50,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2022-10-20;0,0954;0,0904;0,0969309482197198;995,43545737;243,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2022-10-20;0,0954;0,0944;0,0969309482197198;999,08709147;130,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2023-10-20;0,1055;0,1045;0,105275867110037;998,1952668;210,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2024-10-21;0,1094;0,1084;0,108621629267966;997,30184124;182,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-20;2022-07-20;1,03;1,02;0,0934826182675759;999,33363508;250,0;9,0;CDB;POS;OK
XP Investimentos;2021-10-20;2022-10-20;0,0954;0,0945;0,0969309482197198;999,17838233;886,0;12,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2022-10-20;0,0954;0,0905;0,0969309482197198;995,52674822;614,0;12,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2023-10-20;0,1055;0,1045;0,105275867110037;998,1952668;936,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2023-10-20;0,1055;0,0995;0,105275867110037;989,19600238;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2024-10-21;0,1094;0,1085;0,108621629267966;997,57143859;667,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2024-10-21;0,1094;0,105;0,108621629267966;988,16438728;100,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2024-10-21;0,1094;0,1035;0,108621629267966;984,15095364;510,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2025-10-20;0,1112;0,11;0,110289015915909;995,69587624;160,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2025-10-20;0,1112;0,109;0,110289015915909;992,11972569;840,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-20;2022-10-20;1,0;0,99;0,0969309482197198;999,07543345;151,0;12,0;LCA;POS;OK
Órama;2021-10-20;2023-04-13;0,0015;0,0001;0,101770974223878;997,93711568;100,0;18,0;LCA;PRE;OK
Órama;2021-10-20;2024-10-04;0,1094;0,1084;0,108621629267966;997,34109986;180,0;36,0;LCA;PRE;OK
