Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-01;2023-10-02;1,03;1,0;0,0979000000000001;994,43489025;528,0;24,0;LCA;POS;OK
Inter DTVM;2021-10-01;2023-10-02;0,0981;0,095;0,0979000000000001;994,38416429;500,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-01;2023-10-02;0,0981;0,0941;0,0979000000000001;992,75671049;90,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-01;2024-10-01;0,1028;0,0988;0,102;989,20081825;150,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-01;2025-10-01;0,105;0,101;0,104136289344124;985,64134643;190,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-01;2022-10-03;0,0912;0,085;0,089398978648545;994,31818182;50,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-01;2023-10-02;0,0981;0,097;0,0979000000000001;998,00548127;275,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-01;2024-09-30;0,1028;0,097;0,102;984,38720852;150,0;36,0;LCA;PRE;OK
Modal Mais;2021-10-01;2023-09-22;0,0981;0,0921;0,0979000000000001;989,27394343;75,0;24,0;LCA;PRE;OK
