Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-07;2023-04-10;1,02;0,99;0,0933606493651868;996,00282692;550,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-07;2023-10-09;1,03;1,0;0,0967550501595542;994,485945;505,0;24,0;LCA;POS;OK
Nu Invest;2021-10-07;2025-10-07;0,1035;0,0995;0,102652174114956;985,62193431;111,0;48,0;LCA;PRE;OK
Guide;2021-10-07;2023-10-10;1,03;0,99;0,0967550501595542;992,64012903;250,0;24,0;LCA;POS;OK
Guide;2021-10-07;2023-10-10;0,097;0,094;0,0967550501595542;994,53801658;225,0;24,0;LCA;PRE;OK
Guide;2021-10-07;2024-10-10;0,1013;0,0983;0,100497297744786;991,85008101;50,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-07;2022-10-07;0,0909;0,0859;0,0890894266462487;995,41662847;200,0;12,0;CDB;PRE;OK
XP Investimentos;2021-10-07;2023-10-09;0,097;0,091;0,0967550501595542;989,11251728;290,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-07;2025-10-06;0,1035;0,1015;0,102652174114956;992,79861194;50,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-07;2023-10-09;1,03;0,98;0,0967550501595542;990,82677681;180,0;24,0;LCA;POS;OK
China 5 Circulos;2021-10-07;2022-10-07;1,04;1,04;0,0890894266462487;1000,0;1,0;12,0;CDB;POS;REVALIDAR
