Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-10-21;2023-10-23;0,1085;0,1085;0,109858504531276;1000,0;500,0;24,0;LCA;PRE;OK
Bradesco Private;2021-10-21;2025-09-30;0,1135;0,1115;0,115342077566768;992,95519563;100,0;48,0;LCA;PRE;OK
Itau Corretora;2021-10-21;2023-04-24;1,01;0,98;0,106394954918903;995,47340134;6,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-21;2024-10-21;1,03;1,0;0,113535675361444;990,39552428;20,0;36,0;LCA;POS;OK
Inter DTVM;2021-10-21;2022-10-17;0,0981;0,093;0,101050518493921;995,42916591;100,0;12,0;LCA;PRE;OK
Inter DTVM;2021-10-21;2023-10-23;0,1085;0,103;0,109858504531276;990,12084121;100,0;24,0;LCA;PRE;OK
Inter DTVM;2021-10-21;2024-10-21;0,1125;0,107;0,113535675361444;985,28049681;100,0;36,0;LCA;PRE;OK
Guide;2021-10-21;2024-10-23;0,1125;0,1115;0,113535675361444;997,305794;60,0;36,0;LCA;PRE;OK
Ágora;2021-10-21;2023-04-24;0,1041;0,1015;0,106394954918903;996,4791143;51,0;18,0;LCA;PRE;OK
Ágora;2021-10-21;2023-10-23;0,1086;0,1059;0,109858504531276;995,14455266;378,0;24,0;LCA;PRE;OK
Ágora;2021-10-21;2025-10-20;0,1132;0,111;0,115342077566768;992,14163014;50,0;48,0;LCA;PRE;OK
Ágora;2021-10-21;2024-10-21;0,1129;0,11;0,113535675361444;992,22348573;120,0;36,0;LCA;PRE;OK
Ágora;2021-10-21;2022-10-21;0,0981;0,0956;0,101050518493921;997,72334032;230,0;12,0;LCA;PRE;OK
Nu Invest;2021-10-21;2022-10-17;0,0981;0,0941;0,101050518493921;996,41506067;163,0;12,0;LCA;PRE;OK
Nu Invest;2021-10-21;2023-04-24;0,104;0,1;0,106394954918903;994,58446891;50,0;18,0;LCA;PRE;OK
Nu Invest;2021-10-21;2023-10-23;0,1085;0,1045;0,109858504531276;992,81030329;100,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-21;2024-10-21;0,1125;0,1085;0,113535675361444;989,28049998;125,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-21;2025-10-21;0,1135;0,1095;0,115342077566768;985,7362887;140,0;48,0;LCA;PRE;OK
BTG Pactual WM;2021-10-21;2022-10-17;0,0981;0,0951;0,101050518493921;997,31131497;250,0;12,0;LCA;PRE;OK
Daycoval;2021-10-21;2023-10-13;0,1086;0,1065;0,109858504531276;996,267497;50,0;24,0;LCA;PRE;OK
Daycoval;2021-10-21;2023-10-13;0,1086;0,1065;0,109858504531276;996,267497;50,0;24,0;LCA;PRE;OK
Daycoval;2021-10-21;2025-09-30;0,1132;0,1115;0,115342077566768;994,0079388;160,0;48,0;LCA;PRE;OK
Andbank;2021-10-21;2022-10-17;0,0981;0,0919;0,101050518493921;994,4432554;100,0;12,0;LCA;PRE;OK
Andbank;2021-10-21;2023-10-11;0,1086;0,105;0,109858504531276;993,61846087;200,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2022-01-21;0,0799;0,0749;0,0819117254869599;998,82207582;50,0;3,0;CDB;PRE;OK
BTG Pactual Digital;2021-10-21;2023-10-23;0,1085;0,1035;0,109858504531276;991,01692407;200,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2022-10-21;0,0981;0,0931;0,101050518493921;995,44668063;150,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2022-10-21;0,0981;0,0971;0,101050518493921;999,08933613;480,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2023-10-23;0,1085;0,1075;0,109858504531276;998,20014886;50,0;24,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2022-10-21;0,0981;0,097;0,101050518493921;998,99826974;150,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2024-10-21;0,1125;0,1115;0,113535675361444;997,31291194;349,0;36,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-21;2025-10-21;0,1135;0,1085;0,115342077566768;982,19431576;84,0;48,0;LCA;PRE;OK
