Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Private;2021-09-30;2023-10-02;0,0975;0,0975;0,0972968149169786;1000,0;400,0;24,0;LCA;PRE;OK
Bradesco Private;2021-09-30;2023-09-21;0,0975;0,0944;0,0972968149169786;994,44806985;200,0;24,0;LCA;PRE;OK
Itau Corretora;2021-09-30;2023-10-02;1,03;1,0;0,0972968149169786;994,4565475;918,0;24,0;LCA;POS;OK
Nu Invest;2021-09-30;2023-10-02;0,0975;0,0935;0,0972968149169786;992,73837359;50,0;24,0;LCA;PRE;OK
Nu Invest;2021-09-30;2024-09-30;0,102;0,098;0,10120645277582;989,19300687;60,0;36,0;LCA;PRE;OK
Nu Invest;2021-09-30;2025-09-30;0,1041;0,1001;0,103232011876882;985,62970545;125,0;48,0;LCA;PRE;OK
BTG Pactual WM;2021-09-30;2023-10-02;0,0975;0,0965;0,0972968149169786;998,18211754;135,0;24,0;LCA;PRE;OK
Guide;2021-09-30;2023-10-03;0,0975;0,0945;0,0972968149169786;994,54050155;70,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-30;2023-10-02;0,0975;0,0965;0,0972968149169786;998,18211754;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-30;2023-10-02;0,0975;0,0915;0,0972968149169786;989,11746386;50,0;24,0;LCA;PRE;OK
XP Investimentos;2021-09-30;2024-09-30;0,102;0,096;0,10120645277582;983,81877336;180,0;36,0;LCA;PRE;OK
XP Investimentos;2021-09-30;2025-09-29;0,1041;0,102;0,103232011876882;992,44366208;75,0;48,0;LCA;PRE;OK
XP Investimentos;2021-09-30;2023-10-02;1,03;0,98;0,0972968149169786;990,77796137;120,0;24,0;LCA;POS;OK
BTG Pactual Digital;2021-09-30;2022-09-30;0,0909;0,0859;0,0891051906374698;995,41662847;200,0;12,0;CDB;PRE;OK
Órama;2021-09-30;2023-03-24;0,0928;0,0913;0,0936218008408742;997,97441263;50,0;18,0;LCA;PRE;OK
