Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Guide;2021-10-14;2024-10-15;0,1006;0,0976;0,0991047466577688;991,85565478;207,0;36,0;LCA;PRE;OK
Itau Corretora;2021-10-14;2023-04-17;1,02;0,99;0,0927187533669294;996,01855726;290,0;18,0;LCA;POS;OK
Itau Corretora;2021-10-14;2023-10-16;1,03;1,0;0,0957532491308861;994,54034594;882,0;24,0;LCA;POS;OK
Ágora;2021-10-14;2023-10-16;1,03;1,0;0,0957532491308861;994,54034594;50,0;24,0;LCA;POS;OK
Ágora;2021-10-14;2023-10-16;0,096;0,0934;0,0957532491308861;995,27048239;200,0;24,0;LCA;PRE;OK
Ágora;2021-10-14;2023-04-14;0,0919;0,0893;0,0927187533669294;996,43979806;250,0;18,0;LCA;PRE;OK
Nu Invest;2021-10-14;2022-07-14;0,0874;0,0834;0,0861533902844154;997,25443898;80,0;9,0;CDB;PRE;OK
Nu Invest;2021-10-14;2025-10-14;0,102;0,098;0,101129784160373;985,58824747;100,0;48,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-14;2025-10-14;0,102;0,097;0,101129784160373;982,00976543;50,0;48,0;LCA;PRE;OK
