Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-10-08;2023-10-09;1,03;1,0;0,0960501763780668;994,53507279;623,0;24,0;LCA;POS;OK
Inter DTVM;2021-10-08;2024-10-08;0,1006;0,098;0,0998276402713176;992,95764322;100,0;36,0;LCA;PRE;OK
Nu Invest;2021-10-08;2023-04-10;0,0916;0,0876;0,0924622085889886;994,53749544;87,0;18,0;LCA;PRE;OK
Nu Invest;2021-10-08;2023-10-09;0,0963;0,0923;0,0960501763780668;992,7448394;50,0;24,0;LCA;PRE;OK
Nu Invest;2021-10-08;2025-10-08;0,1028;0,0988;0,101989050689102;985,61285735;250,0;48,0;LCA;PRE;OK
Ágora;2021-10-08;2024-10-07;0,1006;0,0981;0,0998276402713176;993,23685403;100,0;36,0;LCA;PRE;OK
Ágora;2021-10-08;2023-10-09;0,0963;0,0937;0,0960501763780668;995,28115292;55,0;24,0;LCA;PRE;OK
Ágora;2021-10-08;2023-04-10;0,0916;0,0891;0,0924622085889886;996,58477822;70,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-10-08;2025-10-08;0,1028;0,1018;0,101989050689102;996,38856048;130,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-08;2023-10-09;0,0963;0,0955;0,0960501763780668;998,54686314;296,0;24,0;LCA;PRE;OK
XP Investimentos;2021-10-08;2024-10-07;0,1006;0,0945;0,0998276402713176;983,55145607;129,0;36,0;LCA;PRE;OK
XP Investimentos;2021-10-08;2025-10-07;0,1028;0,102;0,101989050689102;997,11293674;265,0;48,0;LCA;PRE;OK
XP Investimentos;2021-10-08;2023-10-09;1,03;1,02;0,0960501763780668;998,17503574;200,0;24,0;LCA;POS;OK
XP Investimentos;2021-10-08;2025-10-07;1,04;0,94;0,101989050689102;962,05346725;271,0;48,0;LCA;POS;OK
